Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,104.85,108.04,104.70,108.00,44021900,107.53
2014-10-20,98.32,105.49,98.22,105.22,71706500,104.77
2014-10-13,101.33,101.78,95.18,97.67,71707900,97.25
2014-10-06,99.95,102.38,98.31,100.73,56051600,100.30
2014-09-29,98.65,101.54,98.04,99.62,49549800,99.19
2014-09-22,101.80,102.94,97.72,100.75,67764900,100.32
2014-09-15,102.81,103.05,98.89,100.96,59470500,100.52
2014-09-08,99.30,103.08,96.14,101.66,92704500,101.22
2014-09-02,103.06,103.74,97.79,98.97,80790000,98.54
2014-08-25,101.79,102.90,100.70,102.50,47769200,102.06
2014-08-18,98.49,101.47,97.98,101.32,49466400,100.88
2014-08-11,95.27,98.19,94.84,97.98,35872600,97.56
2014-08-04,96.37,96.58,93.28,94.74,44605000,94.33
2014-07-28,97.82,99.44,94.81,96.13,47365000,95.24
2014-07-21,94.99,97.88,93.72,97.67,55278400,96.77
2014-07-14,95.86,97.10,92.57,94.43,49815100,93.56
2014-07-07,94.14,96.80,93.52,95.22,46366000,94.34
2014-06-30,92.10,94.10,92.09,94.03,34792200,93.16
2014-06-23,91.32,92.00,89.65,91.98,43251400,91.13
2014-06-16,91.51,92.75,90.90,90.91,47045400,90.07
2014-06-09,92.70,95.05,90.88,91.28,58629400,90.44
2014-06-02,633.96,651.26,622.50,645.57,82564300,91.37
2014-05-27,615.88,644.17,615.63,633.00,100302600,89.59
2014-05-19,597.85,614.73,597.33,614.13,59121000,86.92
2014-05-12,587.49,597.53,585.40,597.51,52322600,84.57
2014-05-05,590.14,604.41,580.33,585.54,73319500,82.88
2014-04-28,572.80,599.43,572.55,592.58,94953300,83.41
2014-04-21,525.34,571.99,523.96,571.94,96511900,80.50
2014-04-14,521.90,527.76,511.33,524.94,60704000,73.89
2014-04-07,528.02,532.24,517.14,519.61,62563900,73.14
2014-03-31,539.23,543.48,530.58,531.82,49372200,74.85
2014-03-24,538.42,549.00,534.25,536.86,68017800,75.56
2014-03-17,527.70,536.24,525.20,532.87,60819600,75.00
2014-03-10,528.36,539.66,523.00,524.69,57603800,73.85
2014-03-03,523.42,534.75,522.81,530.44,55210100,74.66
2014-02-24,523.15,532.75,515.60,526.24,73546400,74.07
2014-02-18,546.00,551.19,524.60,525.25,72416400,73.93
2014-02-10,518.66,545.98,518.00,543.99,75811900,76.57
2014-02-03,502.61,522.93,499.30,519.68,86726700,73.15
2014-01-27,550.07,554.80,493.55,500.60,163325500,70.04
2014-01-21,540.99,557.29,540.42,546.07,96319100,76.40
2014-01-13,529.91,560.20,529.88,540.67,87935500,75.65
2014-01-06,537.45,546.86,531.11,532.94,78623700,74.57
2013-12-30,557.46,561.28,540.43,540.98,68991600,75.69
2013-12-23,568.00,571.88,559.50,560.09,68672100,78.36
2013-12-16,555.02,562.64,538.80,549.02,91754000,76.81
2013-12-09,560.90,570.97,553.67,554.43,77679700,77.57
2013-12-02,558.00,575.14,550.82,560.02,104662700,78.35
2013-11-25,521.02,558.33,521.00,556.07,82016900,77.80
2013-11-18,524.99,527.19,513.67,519.80,56677600,72.73
2013-11-11,519.99,529.28,514.41,524.99,61464400,73.45
2013-11-04,521.10,528.89,512.38,520.56,63757600,72.83
2013-10-28,529.04,539.25,514.54,520.03,104549900,72.34
2013-10-21,511.77,533.23,508.03,525.96,98422500,73.16
2013-10-14,489.83,509.26,489.35,508.89,68860400,70.79
2013-10-07,486.56,493.84,478.28,492.81,72563800,68.55
2013-09-30,477.25,492.35,474.41,483.03,74242200,67.19
2013-09-23,496.10,496.91,480.72,482.75,95433500,67.15
2013-09-16,461.00,478.55,447.22,467.41,125189600,65.02
2013-09-09,505.00,507.92,464.70,464.90,134273300,64.67
2013-09-03,493.10,502.24,487.35,498.22,79553400,69.30
2013-08-26,500.75,510.20,486.00,487.22,78735800,67.77
2013-08-19,504.34,513.74,498.20,501.02,83601200,69.69
2013-08-12,456.86,504.25,456.63,502.33,142767300,69.87
2013-08-05,464.69,471.89,453.65,454.45,73760600,63.21
2013-07-29,440.80,462.85,440.20,462.54,68073600,63.92
2013-07-22,429.46,444.59,418.71,440.99,79938700,60.94
2013-07-15,425.01,434.87,424.17,424.95,57252300,58.72
2013-07-08,420.11,429.79,410.38,426.51,76899200,58.94
2013-07-01,402.69,423.29,401.22,417.42,85992000,57.68
2013-06-24,407.40,408.66,388.87,396.53,103919700,54.80
2013-06-17,431.44,435.70,408.10,413.50,80190400,57.14
2013-06-10,444.73,449.08,428.50,430.05,77959500,59.43
2013-06-03,450.73,454.43,432.77,441.81,88857000,61.05
2013-05-28,449.90,457.10,439.40,449.73,90909000,62.15
2013-05-20,431.91,448.35,430.10,445.15,98991300,61.51
2013-05-13,451.51,457.90,418.90,433.26,126839400,59.87
2013-05-06,455.71,465.75,450.48,452.97,109316600,62.60
2013-04-29,420.45,453.23,420.00,449.98,131095100,61.77
2013-04-22,392.64,418.77,391.27,417.20,160637200,57.27
2013-04-15,427.00,427.89,385.10,390.53,142196000,53.61
2013-04-08,424.85,437.99,422.49,429.80,77517400,59.00
2013-04-01,441.90,443.70,419.68,423.20,101230500,58.10
2013-03-25,464.69,469.95,441.62,442.66,98094100,60.77
2013-03-18,441.45,462.10,441.20,461.91,110999700,63.41
2013-03-11,429.75,444.23,425.14,443.66,114676600,60.91
2013-03-04,427.80,435.43,419.00,431.72,127069700,59.27
2013-02-25,453.85,455.12,429.98,430.47,116819600,59.09
2013-02-19,461.10,462.73,442.82,450.81,105620200,61.89
2013-02-11,476.50,484.94,459.92,460.16,117438500,63.17
2013-02-04,453.91,478.81,442.00,474.98,149095500,65.21
2013-01-28,437.83,462.60,435.86,453.62,131632400,61.91
2013-01-22,504.56,514.99,435.00,439.88,249495900,60.04
2013-01-14,502.68,510.75,483.38,500.00,161419300,68.24
2013-01-07,522.00,531.89,515.20,520.30,115106000,71.01
2012-12-31,510.53,555.00,509.00,527.00,135456800,71.93
2012-12-24,520.35,524.25,504.66,509.59,80474200,69.55
2012-12-17,508.93,534.90,501.23,519.33,145530900,70.88
2012-12-10,525.00,549.56,505.58,509.79,167240600,69.58
2012-12-03,593.65,594.59,518.63,533.25,196511900,72.78
2012-11-26,575.90,594.25,572.26,585.28,129539600,79.88
2012-11-19,540.71,572.00,539.88,571.50,131993700,78.00
2012-11-12,554.15,554.50,505.75,527.68,179136300,72.02
2012-11-05,583.52,590.74,533.72,547.06,184188000,74.67
2012-10-31,594.88,603.00,574.75,576.80,122556200,78.37
