Date,Open,High,Low,Close,Volume,Adj Close
2014-01-27,550.07,554.80,493.55,500.60,163325500,70.04
2014-01-21,540.99,557.29,540.42,546.07,96319100,76.40
2014-01-13,529.91,560.20,529.88,540.67,87935500,75.65
2014-01-06,537.45,546.86,531.11,532.94,78623700,74.57
2013-12-30,557.46,561.28,540.43,540.98,68991600,75.69
2013-12-23,568.00,571.88,559.50,560.09,68672100,78.36
2013-12-16,555.02,562.64,538.80,549.02,91754000,76.81
2013-12-09,560.90,570.97,553.67,554.43,77679700,77.57
2013-12-02,558.00,575.14,550.82,560.02,104662700,78.35
2013-11-25,521.02,558.33,521.00,556.07,82016900,77.80
2013-11-18,524.99,527.19,513.67,519.80,56677600,72.73
2013-11-11,519.99,529.28,514.41,524.99,61464400,73.45
2013-11-04,521.10,528.89,512.38,520.56,63757600,72.83
2013-10-31,525.00,527.49,515.84,520.03,68823300,72.34
