Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,30.15,31.62,29.82,31.40,15215100,31.40
2014-10-20,30.22,31.99,29.98,30.04,19573100,30.04
2014-10-13,30.29,30.97,28.82,30.24,19681500,30.24
2014-10-06,33.84,34.24,30.09,30.29,21331100,30.29
2014-09-29,32.97,33.90,31.67,33.76,22683200,33.76
2014-09-22,33.74,33.84,32.83,33.17,10460800,33.17
2014-09-15,33.16,34.24,33.15,33.94,11468900,33.94
2014-09-08,34.03,34.15,33.01,33.27,13130100,33.27
2014-09-02,34.88,35.14,34.23,34.58,10672100,34.28
2014-08-25,34.43,35.00,34.22,34.80,7143900,34.50
2014-08-18,34.09,34.75,34.04,34.24,9022700,33.94
2014-08-11,33.64,34.16,33.22,33.84,10488800,33.55
2014-08-04,33.76,34.02,32.80,33.53,10935300,33.24
2014-07-28,35.03,35.20,33.30,33.44,15861000,33.15
2014-07-21,37.38,37.92,34.56,35.07,18875400,34.77
2014-07-14,38.10,38.13,37.01,37.41,9728000,37.09
2014-07-07,37.91,38.13,37.17,37.95,10138300,37.62
2014-06-30,36.59,38.15,35.98,37.74,17177500,37.41
2014-06-23,36.21,37.18,36.19,36.62,15141500,36.30
2014-06-16,35.49,36.64,35.49,36.22,13492700,35.91
2014-06-09,36.47,36.83,35.38,35.63,11294200,35.32
2014-06-02,34.54,37.04,34.29,36.55,21065400,36.23
2014-05-27,33.92,34.65,33.77,34.58,11655900,34.00
2014-05-19,33.84,34.35,32.96,33.63,12597500,33.06
2014-05-12,34.38,35.19,33.49,34.00,13723200,33.43
2014-05-05,34.84,35.43,34.15,34.23,10977600,33.65
2014-04-28,33.93,35.40,33.52,34.97,15454100,34.38
2014-04-21,33.95,35.70,33.52,33.72,17529600,33.15
2014-04-14,32.29,34.09,32.15,33.98,18175600,33.41
2014-04-07,34.67,34.73,31.70,31.93,31638200,31.39
2014-03-31,34.53,35.70,33.95,34.81,30734700,34.22
2014-03-24,34.69,35.18,34.11,34.73,19766800,34.14
2014-03-17,34.14,36.00,33.71,35.01,20836600,34.42
2014-03-10,37.56,37.56,33.57,34.09,35284700,33.51
2014-03-03,35.70,38.05,35.70,37.69,21407900,36.73
2014-02-24,36.70,37.13,35.89,36.20,28851400,35.28
2014-02-18,36.43,36.75,36.00,36.69,29494200,35.75
2014-02-10,35.91,36.08,34.62,35.95,28721900,35.03
2014-02-03,36.27,36.47,34.36,36.11,34860500,35.19
2014-01-27,36.80,37.28,35.88,36.08,22009600,35.16
2014-01-21,38.89,39.00,36.70,36.83,26952300,35.89
2014-01-13,40.16,40.64,38.33,38.60,38336900,37.61
2014-01-06,39.90,40.94,39.64,40.03,14989800,39.01
2013-12-30,41.00,41.13,39.00,39.57,19007100,38.56
2013-12-23,40.90,41.85,40.61,40.94,12299100,39.89
2013-12-16,40.56,41.85,39.86,40.99,37722300,39.94
2013-12-09,40.38,41.17,40.01,40.04,22400800,39.02
2013-12-02,39.10,40.38,37.68,40.17,35650700,39.14
2013-11-25,37.75,39.15,37.39,38.73,19749400,37.74
2013-11-18,38.81,39.18,37.58,37.63,22841800,36.67
2013-11-11,36.68,39.08,36.37,38.77,24414500,37.78
2013-11-04,37.50,37.80,35.91,36.66,17492400,35.72
2013-10-31,37.18,38.21,36.95,37.39,29434100,36.44
