Date,Open,High,Low,Close,Volume,Adj Close
2014-04-28,33.93,34.54,33.52,34.48,15433800,33.90
2014-04-21,33.95,35.70,33.52,33.72,17529600,33.15
2014-04-14,32.29,34.09,32.15,33.98,18175600,33.41
2014-04-07,34.67,34.73,31.70,31.93,31638200,31.39
2014-03-31,34.53,35.70,33.95,34.81,30734700,34.22
2014-03-24,34.69,35.18,34.11,34.73,19766800,34.14
2014-03-17,34.14,36.00,33.71,35.01,20836600,34.42
2014-03-10,37.56,37.56,33.57,34.09,35284700,33.51
2014-03-03,35.70,38.05,35.70,37.69,21407900,36.73
2014-02-24,36.70,37.13,35.89,36.20,28851400,35.28
2014-02-18,36.43,36.75,36.00,36.69,29494200,35.75
2014-02-10,35.91,36.08,34.62,35.95,28721900,35.03
2014-02-03,36.27,36.47,34.36,36.11,34860500,35.19
2014-01-27,36.80,37.28,35.88,36.08,22009600,35.16
2014-01-21,38.89,39.00,36.70,36.83,26952300,35.89
2014-01-13,40.16,40.64,38.33,38.60,38336900,37.61
2014-01-06,39.90,40.94,39.64,40.03,14989800,39.01
2013-12-30,41.00,41.13,39.00,39.57,19007100,38.56
2013-12-23,40.90,41.85,40.61,40.94,12299100,39.89
2013-12-16,40.56,41.85,39.86,40.99,37722300,39.94
2013-12-09,40.38,41.17,40.01,40.04,22400800,39.02
2013-12-02,39.10,40.38,37.68,40.17,35650700,39.14
2013-11-25,37.75,39.15,37.39,38.73,19749400,37.74
2013-11-18,38.81,39.18,37.58,37.63,22841800,36.67
2013-11-11,36.68,39.08,36.37,38.77,24414500,37.78
2013-11-04,37.50,37.80,35.91,36.66,17492400,35.72
2013-10-31,37.18,38.21,36.95,37.39,29434100,36.44
