Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,45.71,46.97,45.71,46.95,31119100,46.66
2014-10-20,43.06,46.90,42.81,46.13,42212200,45.84
2014-10-13,43.82,44.56,42.10,43.63,45031600,43.36
2014-10-06,46.12,46.89,43.95,44.03,33151900,43.75
2014-09-29,45.98,46.56,45.61,46.09,30957000,45.80
2014-09-22,47.30,47.38,45.76,46.41,31771000,46.12
2014-09-15,46.54,47.57,46.10,47.52,68393800,47.22
2014-09-08,46.02,47.02,45.99,46.70,36160500,46.41
2014-09-02,45.43,45.93,44.53,45.91,30019000,45.62
2014-08-25,45.40,45.44,44.61,45.43,18467200,45.15
2014-08-18,44.94,45.47,44.68,45.15,24076200,44.87
2014-08-11,43.26,44.90,43.00,44.79,25119300,44.23
2014-08-04,42.97,43.47,42.21,43.20,28887000,42.66
2014-07-28,44.36,44.51,42.60,42.86,30415300,42.33
2014-07-21,44.56,45.45,44.22,44.50,38105200,43.95
2014-07-14,42.22,45.71,42.03,44.69,47907100,44.13
2014-07-07,41.75,42.12,41.05,42.09,23510800,41.57
2014-06-30,42.17,42.21,41.53,41.80,23474900,41.28
2014-06-23,41.73,42.29,41.43,42.25,32709300,41.72
2014-06-16,41.04,41.91,40.34,41.68,28282800,41.16
2014-06-09,41.39,41.57,40.29,41.23,20861100,40.72
2014-06-02,40.95,41.66,39.86,41.48,23141500,40.96
2014-05-27,40.26,40.97,39.81,40.94,26581900,40.43
2014-05-19,39.61,40.37,39.46,40.12,21295700,39.62
2014-05-12,39.74,40.50,39.27,39.83,27253200,39.33
2014-05-05,39.52,39.90,38.51,39.54,30617100,38.77
2014-04-28,40.14,41.29,39.66,39.69,37581800,38.92
2014-04-21,40.13,40.68,39.30,39.91,34627800,39.14
2014-04-14,39.11,40.42,38.90,40.01,33320100,39.24
2014-04-07,39.96,40.69,39.00,39.21,36233500,38.45
2014-03-31,40.43,41.66,39.64,39.87,37941400,39.10
2014-03-24,40.34,40.99,39.34,40.30,42022100,39.52
2014-03-17,37.90,40.94,37.79,40.16,52026400,39.38
2014-03-10,37.99,38.45,37.51,37.70,26816400,36.97
2014-03-03,37.92,38.48,37.49,37.90,25442700,37.17
2014-02-24,37.69,38.46,37.19,38.31,35796300,37.57
2014-02-18,37.63,38.35,37.21,37.98,32032900,37.24
2014-02-10,36.63,37.86,36.29,37.62,31000600,36.62
2014-02-03,37.74,37.99,35.69,36.56,48637500,35.59
2014-01-27,36.87,37.89,35.75,37.84,52314100,36.83
2014-01-21,36.82,37.55,35.52,36.81,43455200,35.83
2014-01-13,35.99,37.00,34.63,36.38,43324800,35.41
2014-01-06,36.85,36.89,35.40,36.04,43288600,35.08
2013-12-30,37.22,37.58,36.60,36.91,23890200,35.93
2013-12-23,36.81,37.62,36.55,37.29,17886800,36.30
2013-12-16,36.73,37.11,35.53,36.80,47484600,35.82
2013-12-09,38.56,38.90,36.62,36.69,36809300,35.71
2013-12-02,38.09,38.98,37.18,38.36,59961200,37.34
