Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,12.94,13.85,12.78,13.67,42000,13.67
2014-10-20,12.65,13.05,12.63,12.72,48500,12.72
2014-10-13,12.81,12.96,12.43,12.67,35300,12.67
2014-10-06,13.18,13.33,12.80,12.80,15500,12.80
2014-09-29,13.63,13.66,13.07,13.11,27700,13.11
2014-09-22,13.90,14.09,13.72,13.80,37100,13.80
2014-09-15,13.82,14.16,13.75,13.93,18800,13.93
2014-09-08,13.96,14.03,13.70,13.78,34000,13.78
2014-09-02,14.45,14.45,14.12,14.16,32900,14.16
2014-08-25,13.96,14.06,13.70,13.89,32800,13.89
2014-08-18,14.39,14.39,13.86,13.93,22000,13.93
2014-08-11,13.37,13.78,13.30,13.78,19500,13.78
2014-08-04,13.72,13.72,13.25,13.35,36700,13.35
2014-07-28,15.20,15.31,13.74,13.75,49800,13.75
2014-07-21,15.48,15.98,15.35,15.59,175500,15.59
2014-07-14,15.40,15.62,15.28,15.56,51100,15.56
2014-07-07,15.68,15.72,15.00,15.07,19800,15.07
2014-06-30,14.84,15.68,14.82,15.62,42600,15.62
2014-06-23,15.17,15.30,14.70,14.79,53500,14.79
2014-06-16,14.62,15.35,14.55,15.35,41100,15.35
2014-06-09,14.52,14.60,13.94,14.26,253500,14.26
2014-06-02,14.54,14.65,14.31,14.36,183900,14.36
2014-05-27,14.30,14.62,14.21,14.56,252800,14.56
2014-05-19,13.61,14.26,13.45,14.22,38000,14.22
2014-05-12,13.07,13.72,13.07,13.45,23900,13.45
2014-05-05,13.39,13.58,12.90,13.14,194100,13.14
2014-04-28,13.09,13.44,13.00,13.40,96000,13.40
2014-04-21,13.72,13.72,12.99,13.02,25500,13.02
2014-04-14,13.60,13.70,13.20,13.64,217600,13.64
2014-04-07,14.25,14.35,13.49,13.52,242500,13.52
2014-03-31,14.85,15.02,14.22,14.25,33900,14.25
2014-03-24,14.77,14.84,14.25,14.64,98400,14.64
2014-03-17,14.70,14.87,14.12,14.12,29300,14.12
2014-03-10,15.05,15.05,14.50,14.64,276200,14.64
2014-03-03,15.01,15.63,15.01,15.23,125200,15.23
2014-02-24,15.33,15.85,15.10,15.40,49800,15.40
2014-02-18,15.03,15.43,14.99,15.25,98700,15.25
2014-02-10,14.70,14.98,14.26,14.52,451500,14.52
2014-02-03,14.75,14.96,13.96,14.15,118200,14.15
2014-01-27,16.10,16.83,14.52,14.63,216000,14.63
2014-01-21,15.98,16.78,15.92,16.15,92400,16.15
2014-01-13,19.14,19.15,14.50,14.90,453800,14.90
2014-01-06,16.92,19.09,16.88,18.95,92000,18.95
2013-12-30,16.76,16.80,16.49,16.62,31500,16.62
2013-12-23,16.47,16.76,16.47,16.73,37700,16.73
2013-12-16,15.16,16.50,15.16,16.45,46000,16.45
2013-12-09,15.48,15.60,15.06,15.15,23100,15.15
2013-12-02,15.97,16.05,15.13,15.47,25600,15.47
2013-11-25,16.74,16.91,16.03,16.08,67100,16.08
2013-11-18,16.21,16.81,16.05,16.80,37000,16.80
2013-11-11,15.20,16.38,15.17,16.35,54500,16.35
2013-11-04,14.28,15.48,14.00,15.46,33800,15.46
2013-10-31,14.11,14.11,13.96,14.03,16400,14.03
