Date,Open,High,Low,Close,Volume,Adj Close
2014-01-27,16.10,16.83,14.52,14.63,216000,14.63
2014-01-21,15.98,16.78,15.92,16.15,92400,16.15
2014-01-13,19.14,19.15,14.50,14.90,453800,14.90
2014-01-06,16.92,19.09,16.88,18.95,92000,18.95
2013-12-30,16.76,16.80,16.49,16.62,31500,16.62
2013-12-23,16.47,16.76,16.47,16.73,37700,16.73
2013-12-16,15.16,16.50,15.16,16.45,46000,16.45
2013-12-09,15.48,15.60,15.06,15.15,23100,15.15
2013-12-02,15.97,16.05,15.13,15.47,25600,15.47
2013-11-25,16.74,16.91,16.03,16.08,67100,16.08
2013-11-18,16.21,16.81,16.05,16.80,37000,16.80
2013-11-11,15.20,16.38,15.17,16.35,54500,16.35
2013-11-04,14.28,15.48,14.00,15.46,33800,15.46
2013-10-31,14.11,14.11,13.96,14.03,16400,14.03
