Date,Open,High,Low,Close,Volume,Adj Close
2014-10-27,17.43,19.90,17.37,19.82,3752400,19.82
2014-10-20,17.37,17.98,17.30,17.72,2520500,17.72
2014-10-13,17.14,17.28,16.57,17.24,2392500,17.24
2014-10-06,17.66,17.80,17.11,17.12,2206200,17.12
2014-09-29,17.70,18.11,17.22,17.61,2719800,17.61
2014-09-22,17.49,17.54,17.22,17.42,3040300,17.42
2014-09-15,19.82,20.35,17.62,17.69,7086900,17.69
2014-09-08,19.25,19.95,19.17,19.82,2175200,19.82
2014-09-02,19.32,19.94,19.10,19.27,1953100,19.27
2014-08-25,18.96,19.18,18.82,19.11,923500,19.11
2014-08-18,18.45,19.00,18.38,18.86,2440000,18.86
2014-08-11,17.38,18.44,17.30,18.41,2383000,18.41
2014-08-04,18.14,18.37,17.16,17.42,2536300,17.42
2014-07-28,17.67,19.11,17.46,18.02,3333800,18.02
2014-07-21,16.74,17.72,16.65,17.68,2438200,17.68
2014-07-14,16.72,16.84,16.43,16.79,2287700,16.79
2014-07-07,16.92,17.00,16.43,16.66,1261700,16.66
2014-06-30,16.69,17.16,16.66,16.84,2980000,16.84
2014-06-23,16.86,16.95,16.61,16.76,2480600,16.76
2014-06-16,16.28,17.01,16.05,16.97,3079800,16.97
2014-06-09,16.18,16.34,15.96,16.22,2712800,16.22
2014-06-02,16.31,16.33,16.02,16.10,1424900,16.10
2014-05-27,16.50,16.71,16.10,16.18,2829200,16.18
2014-05-19,16.02,16.37,15.93,16.11,2635200,16.11
2014-05-12,17.26,17.69,16.15,16.38,3196300,16.38
2014-05-05,17.55,17.68,17.31,17.38,1545200,17.38
2014-04-28,17.87,18.05,16.76,17.63,1825900,17.63
2014-04-21,18.81,19.05,17.77,17.87,1460800,17.87
2014-04-14,18.60,18.85,18.33,18.71,1094800,18.71
2014-04-07,19.18,19.26,18.13,18.38,1719900,18.38
2014-03-31,19.12,19.46,18.95,19.03,1979200,19.03
2014-03-24,17.74,18.79,17.54,18.65,2878100,18.65
2014-03-17,17.15,17.85,16.92,17.76,2774100,17.76
2014-03-10,18.13,18.17,17.12,17.17,2064200,17.17
2014-03-03,17.20,17.99,17.04,17.95,1481600,17.95
2014-02-24,17.40,17.66,17.16,17.55,2193900,17.55
2014-02-18,17.30,17.39,16.98,17.12,1921000,17.12
2014-02-10,16.70,17.36,16.52,17.06,3626800,17.06
2014-02-03,15.60,16.87,15.23,16.82,4715600,16.82
2014-01-27,16.47,16.53,15.55,15.75,3692600,15.75
2014-01-21,17.05,17.13,16.63,16.72,3050600,16.72
2014-01-13,17.68,17.77,17.05,17.05,2944600,17.05
2014-01-06,17.30,18.32,17.20,17.80,4075200,17.80
2013-12-30,17.33,17.55,17.08,17.18,1787900,17.18
2013-12-23,17.67,17.85,17.03,17.09,1731200,17.09
2013-12-16,17.60,17.65,17.23,17.56,1724400,17.56
2013-12-09,18.14,18.15,17.40,17.51,2133900,17.51
2013-12-02,18.49,18.75,17.75,18.10,1899400,18.10
2013-11-25,18.42,18.62,18.04,18.30,2625200,18.30
2013-11-18,19.05,19.16,18.27,18.30,3551600,18.30
2013-11-11,16.68,18.77,16.52,18.50,5019300,18.50
2013-11-04,16.85,17.31,16.62,16.74,3355300,16.74
2013-10-31,18.02,18.02,16.66,16.75,8151600,16.75
