Date,Open,High,Low,Close,Volume,Adj Close
2014-01-27,16.47,16.53,15.55,15.75,3692600,15.75
2014-01-21,17.05,17.13,16.63,16.72,3050600,16.72
2014-01-13,17.68,17.77,17.05,17.05,2944600,17.05
2014-01-06,17.30,18.32,17.20,17.80,4075200,17.80
2013-12-30,17.33,17.55,17.08,17.18,1787900,17.18
2013-12-23,17.67,17.85,17.03,17.09,1731200,17.09
2013-12-16,17.60,17.65,17.23,17.56,1724400,17.56
2013-12-09,18.14,18.15,17.40,17.51,2133900,17.51
2013-12-02,18.49,18.75,17.75,18.10,1899400,18.10
2013-11-25,18.42,18.62,18.04,18.30,2625200,18.30
2013-11-18,19.05,19.16,18.27,18.30,3551600,18.30
2013-11-11,16.68,18.77,16.52,18.50,5019300,18.50
2013-11-04,16.85,17.31,16.62,16.74,3355300,16.74
2013-10-31,18.02,18.02,16.66,16.75,8151600,16.75
