Date,Open,High,Low,Close,Volume,Adj Close
2014-01-27,37.60,38.32,34.45,36.01,39200100,36.01
2014-01-21,39.98,40.40,37.62,37.91,19031000,37.91
2014-01-13,41.16,41.31,39.47,40.01,15121400,40.01
2014-01-06,40.05,41.72,39.75,41.23,13364900,41.23
2013-12-30,40.46,40.58,39.31,40.12,13556900,40.12
2013-12-23,40.25,41.05,40.13,40.49,6516200,40.49
2013-12-16,39.97,40.60,38.82,40.12,14694500,40.12
2013-12-09,39.13,40.25,38.57,39.73,18147900,39.73
2013-12-02,37.04,39.31,36.25,38.86,20337600,38.86
2013-11-25,36.78,37.35,35.96,36.98,10625200,36.98
2013-11-18,35.65,36.66,34.51,36.49,21227500,36.49
2013-11-11,33.57,35.94,33.25,35.47,18492100,35.47
2013-11-04,33.20,33.66,32.06,33.12,14404000,33.12
2013-10-31,32.43,33.35,32.28,33.18,15251600,33.18
